A,ProductName,InArea,MbaId,ProductSerialNumber,commodity,AnnualConsumption,StartDate,ContractDuration,OrderDate,Status,PriceGuarantee,PriceDate,PriceChange,OrigBaseCosts,OrigKwhCosts,OrigKwhMargin,OrigbaseMargin,CurrentBasePriceNet,CurrentKwhPriceNet,CatalogBasePrice,CatalogKwhPrice,CurrentBaseCost,CurrentKwhCost,CurrentKwhRohmarge,CurrentBaseRohmarge,BaseNewPriceProposed,KwhNewPriceProposed,NewPriceInclude,NewPriceStartdate,CurrentBaseTargetMargin,CurrentKwhTargetMargin
A2,EASY,False,en-wo3830281,ev-klyqa1977,power,1332,2021-01-26,2021-01-26 00:00:00,2021-01-01,active,2021-01-26 00:00:00,2020-10-01,False,57.84,23.38,1.16,30.0,87.84,24.54,122.02,37.06,94.63,20.763,3.7769999999999975,-6.789999999999992,124.63,21.92,,,27.39,16.3
A2,12,False,en-7166772082,ev-krtas1368,power,1656,2021-01-01,2021-12-31 00:00:00,2021-01-01,active,2021-12-31 00:00:00,2020-10-01,False,98.84,22.9,0.7,24.0,122.84,23.6,146.49,37.11,129.1,20.013,3.5869999999999997,-6.259999999999991,153.10000000000002,20.709999999999997,,,17.39,17.1
A2,12,False,en-4922113701,ev-axgwc1409,gas,12137,2021-01-01,2021-12-31 00:00:00,2021-01-01,active,2021-12-31 00:00:00,2020-10-01,False,124.85,4.4294,0.15,32.0,156.85,4.58,158.29,12.48,176.19,5.0327,-0.4527000000000001,-19.340000000000003,208.19,5.180000000000001,,,-17.9,7.45
A2,12,False,en-4922113701,ev-uphxa9282,power,1935,2021-01-01,2021-12-31 00:00:00,2021-01-01,active,2021-12-31 00:00:00,2020-10-01,False,63.58,23.55,0.1,2.0,65.58,23.65,96.64,35.6,89.7,20.303,3.3469999999999978,-24.120000000000005,91.7,20.400000000000002,,,6.94,15.3
A2,12,False,en-6638193083,ev-lfaow9358,gas,3898,2021-01-01,2021-12-31 00:00:00,2021-01-01,active,2021-12-31 00:00:00,2020-10-01,False,102.0,4.1961,0.15,32.0,134.0,4.35,180.32,15.58,148.32,4.8259,-0.4759000000000002,-14.319999999999993,180.32,4.98,,,32.0,10.75
A2,12,False,en-6638193083,ev-heffl9411,power,1270,2021-01-01,2021-12-31 00:00:00,2021-01-01,active,2021-12-31 00:00:00,2020-10-01,False,74.24,23.52,0.7,24.0,98.24,24.22,118.42,38.44,101.03,21.343,2.876999999999999,-2.7900000000000063,125.03,22.039999999999996,,,17.39,17.1
A2,12,False,en-8335710037,ev-dbmha7372,power,823,2021-01-28,2022-01-27 00:00:00,2021-01-01,active,2022-01-27 00:00:00,2020-10-01,False,71.76,21.78,0.7,24.0,95.76,22.48,115.94,36.15,98.55,19.053,3.4269999999999996,-2.789999999999992,122.55,19.749999999999996,,,17.39,17.1
A2,EASY,False,en-ko3018854,ev-hcywo4013,gas,7959,2021-01-28,2021-01-28 00:00:00,2021-01-01,active,2021-01-28 00:00:00,2020-10-01,False,129.05,3.8844,0.2,40.0,169.05,4.08,211.37,14.72,171.37,4.27,-0.1899999999999995,-2.319999999999993,211.37,4.4700000000000015,,,40.0,10.45
A2,12,False,en-9862722924,ev-gfyqr5778,power,1747,2021-01-01,2021-12-31 00:00:00,2021-01-01,active,2021-12-31 00:00:00,2020-10-01,False,97.43,21.53,0.7,24.0,121.43,22.23,141.61,35.88,124.22,18.783,3.446999999999999,-2.789999999999992,148.22000000000003,19.48,,,17.39,17.1
A2,12,False,en-8911854647,ev-yxier0905,power,1844,2021-06-01,2022-05-31 00:00:00,2021-01-01,active,2022-05-31 00:00:00,2020-10-01,False,63.58,23.55,0.1,2.0,65.58,23.65,96.64,35.6,89.7,20.303,3.3469999999999978,-24.120000000000005,91.7,20.400000000000002,,,6.94,15.3
