product_name,in_area,product_serial_number,Summe von consumption,Summe von customer_base_price,Summe von work_price_charged_incl_energy_taxes,Summe von discount,Summe von eeg_contribution,Summe von electricity_tax,Summe von gas_tax,Summe von grid_base_price,Summe von grid_work_price,Summe von kwk,Summe von metering,Summe von Erlös,Summe von Kosten,Summe von Rohmarge,Rohmarge/KWH
ELECTRICITY_SUBSCRIPTION_24,ia,31130743,60.3,4.31,14.26,0,2.24,1.24,0,1.78,3.33,0.23,0.84,18.57,9.66,8.91,0.14776119402985075
ELECTRICITY_SUBSCRIPTION_24,ia,31168177,471.56800000000004,18.53,108.55,0,17.56,9.67,0,5.18,26.08,1.78,2.45,127.08,62.72,64.36,0.13648084687680248
ELECTRICITY_SUBSCRIPTION_24,ia,31174549,81.4,4.67,19.25,0,3.03,1.67,0,1.92,4.5,0.31,0.91,23.92,12.34,11.58,0.14226044226044224
ELECTRICITY_SUBSCRIPTION_12,ia,31210710,183.5,6.57,40.5,0,6.83,3.76,0,2.15,10.15,0.69,1.02,47.07,24.60,22.47,0.12245231607629427
ELECTRICITY_SUBSCRIPTION_12,ia,31275220,114,5.56,26.25,0,4.24,2.34,0,1.55,6.3,0.43,0.74,31.81,15.60,16.21,0.14219298245614037
ELECTRICITY_SUBSCRIPTION_12,ia,31478927,280.700,16.42,64.62,0,10.45,5.75,0,4.59,15.52,1.06,2.17,81.04,39.54,41.50,0.1478446740292127
ELECTRICITY_SUBSCRIPTION_12,ia,31485605,133.6,4.5,30.75,0,4.97,2.74,0,1.26,7.39,0.51,0.6,35.25,17.47,17.78,0.13308383233532936
ELECTRICITY_SUBSCRIPTION_12,ia,31492770,345.500,9.27,79.53,0,12.86,7.08,0,2.59,19.11,1.31,1.23,88.80,44.18,44.62,0.12914616497829232
ELECTRICITY_SUBSCRIPTION_12,ia,31518583,225.500,11.91,51.91,0,8.40,4.62,0,3.33,12.47,0.85,1.58,63.82,31.25,32.57,0.14443458980044346
ELECTRICITY_SUBSCRIPTION_12,ia,31521465,907.600,17.47,208.93,0,33.79,18.61,0,4.88,50.19,3.43,2.31,226.40,113.21,113.19,0.1247135301895108
ELECTRICITY_SUBSCRIPTION_12,ia,31567499,291,5.03,66.99,0,10.83,5.97,0,1.41,16.09,1.1,0.67,72.02,36.07,35.95,0.12353951890034365
ELECTRICITY_SUBSCRIPTION_12,ia,31674324,56.200,2.91,12.94,0,2.09,1.15,0,0.81,3.11,0.21,0.39,15.85,7.76,8.09,0.14395017793594306
ELECTRICITY_SUBSCRIPTION_12,ia,8000012253,83.7,6.62,19.27,0,3.12,1.72,0,1.85,4.63,0.32,0.88,25.89,12.52,13.37,0.15973715651135004
ELECTRICITY_SUBSCRIPTION_12,ia,8000019932,431.000,16.42,99.22,0,16.05,8.84,0,4.59,23.83,1.63,2.17,115.64,57.11,58.53,0.13580046403712298
ELECTRICITY_SUBSCRIPTION_12,ia,8000023076,497.900,10.24,117.75,0,18.54,10.21,0,4.22,27.53,1.88,2.00,127.99,64.38,63.61,0.12775657762602932
ELECTRICITY_SUBSCRIPTION_12,ia,8000053950,258.600,21.71,59.53,0,9.63,5.30,0,6.07,14.30,0.98,2.87,81.24,39.15,42.09,0.16276102088167052
ELECTRICITY_SUBSCRIPTION_12,ia,8000057261,51.1,4.5,11.76,0,1.9,1.05,0,1.26,2.83,0.19,0.6,16.26,7.83,8.43,0.1649706457925636
ELECTRICITY_SUBSCRIPTION_12,ia,8000070643,347.000,23.03,79.88,0,12.92,7.11,0,6.44,19.19,1.31,3.05,102.91,50.02,52.89,0.15242074927953891
ELECTRICITY_SUBSCRIPTION_12,ia,8000073717,293.8,7.41,67.63,0,10.94,6.02,0,2.07,16.25,1.11,0.98,75.04,37.37,37.67,0.12821647379169504
ELECTRICITY_SUBSCRIPTION_12,ia,8000075821,57.3,5.56,13.19,0,2.13,1.17,0,1.55,3.17,0.22,0.74,18.75,8.98,9.77,0.17050610820244327
ELECTRICITY_SUBSCRIPTION_12,ia,8000088682,69.000,7.25,15.23,0,2.57,1.41,0,2.37,3.82,0.26,1.12,22.48,11.55,10.93,0.15840579710144928
ELECTRICITY_SUBSCRIPTION_12,ia,8000102816,321.700,10.87,71.00,0,11.98,6.59,0,3.55,17.79,1.22,1.68,81.87,42.81,39.06,0.12141746969225987
ELECTRICITY_SUBSCRIPTION_12,ia,8000104317,118.1,7.41,27.19,0,4.4,2.42,0,2.07,6.53,0.45,0.98,34.60,16.85,17.75,0.15029635901778154
ELECTRICITY_SUBSCRIPTION_12,ia,8000106672,163.3,6.79,36.04,0,6.08,3.35,0,2.22,9.03,0.62,1.05,42.83,22.35,20.48,0.12541334966319656
ELECTRICITY_SUBSCRIPTION_12,ia,8000108778,555.000,22.24,127.76,0,20.66,11.38,0,6.21,30.69,2.10,2.94,150.00,73.98,76.02,0.13697297297297298
ELECTRICITY_SUBSCRIPTION_12,ia,8000115407,100.3,4.24,23.09,0,3.73,2.06,0,1.18,5.55,0.38,0.56,27.33,13.46,13.87,0.1382851445663011
ELECTRICITY_SUBSCRIPTION_12,ia,8000123876,186.400,9.53,42.91,0,6.94,3.82,0,2.66,10.31,0.7,1.26,52.44,25.69,26.75,0.14350858369098712
ELECTRICITY_SUBSCRIPTION_12,ia,8000154150,305.000,13.81,67.31,0,11.36,6.25,0,4.51,16.87,1.15,2.14,81.12,42.28,38.84,0.12734426229508197
ELECTRICITY_SUBSCRIPTION_12,ia,8000190703,61.5,2.16,14.54,0,2.29,1.26,0,0.89,3.4,0.23,0.42,16.70,8.49,8.21,0.1334959349593496
ELECTRICITY_SUBSCRIPTION_12,ia,8000211710,113.300,3.97,26.08,0,4.22,2.32,0,1.11,6.27,0.43,0.53,30.05,14.88,15.17,0.13389232127096204
ELECTRICITY_SUBSCRIPTION_12,ia,8000218107,135.4,7.15,31.16,0,5.04,2.78,0,2,7.49,0.51,0.95,38.31,18.77,19.54,0.14431314623338257
